FID,ORIG_FID,x,y
119,20,116.397230605999990,39.948131382500002
120,20,116.397764925000000,39.948194362199999
121,20,116.399115140000010,39.948366892800003
122,20,116.400000228000000,39.948509090999998
123,20,116.401000518000000,39.948691266399997
124,20,116.401342450000000,39.948773033000002
125,20,116.401946146000000,39.948782569599999
126,21,116.343200287000000,39.874773966799999
127,21,116.343225604000000,39.875176269999997
128,21,116.343120725000010,39.876242448200003
129,22,116.342655891000010,39.881918999000000
130,22,116.342836328000000,39.888210534000002
131,22,116.342836586999990,39.888225041799998
132,23,116.401946146000000,39.948782569599999
133,23,116.402513221000010,39.948791522900002
134,23,116.403168003999990,39.948680530700003
135,23,116.404586858000000,39.948588237099997
136,23,116.406371093000000,39.948485157199997
137,23,116.407719537000010,39.948387752899997
138,23,116.409396728999990,39.948349692999997
139,23,116.410255382000000,39.948373073600003
140,24,116.345488976000000,39.866736396900002
141,24,116.345027943999990,39.868285268500003
142,24,116.344709058000010,39.871440418100001
143,24,116.343200287000000,39.874773966799999
144,25,116.438414879000010,39.888644327800002
145,25,116.439129706000000,39.883163297800003
146,26,116.415131401000000,39.871424361300001
147,26,116.416960002000000,39.871460968699999
148,27,116.439669252000000,39.880204775000003
149,27,116.440086416000000,39.878179736500002
150,27,116.440115238999990,39.877900393200001
151,28,116.439669252000000,39.880204775000003
152,28,116.439250363000000,39.882238073200000
153,28,116.439129706000000,39.883163297800003
154,29,116.349709813000000,39.931077247899999
155,29,116.349710923999990,39.931060487700002
156,29,116.349774362999990,39.929645426299999
157,29,116.349817087999990,39.928098709600000
158,29,116.349859372000000,39.926819700999999
159,30,116.342655891000010,39.881918999000000
160,30,116.342634763000010,39.881182202300003
161,30,116.343120725000010,39.876242448200003
162,31,116.428963417000010,39.911792591900003
163,31,116.429005336000000,39.911513040599999
164,31,116.429019939000000,39.911448851300001
165,31,116.429137736000000,39.910934602099999
166,31,116.429238997000000,39.910457558799997
167,31,116.429307327000000,39.910171619499998
168,31,116.429413799000000,39.909696759799999
169,31,116.429458182999990,39.909278466000004
170,31,116.429546071999990,39.907782572999999
171,31,116.429568069000000,39.907167022400003
172,32,116.349341391000000,39.939099402300002
173,32,116.349389266000000,39.938049904099998
174,32,116.349400966999990,39.937483659400002
175,32,116.349457115000010,39.936204426600000
176,32,116.349514434000000,39.934812663899997
177,32,116.349577595000000,39.933547834999999
178,32,116.349610342000010,39.932870860000001
179,32,116.349669992000000,39.931678047799998
180,32,116.349709813000000,39.931077247899999
181,33,116.428591036000000,39.916303157000002
182,33,116.428595683000000,39.916046393800002
183,33,116.428652695000000,39.914963682500002
184,33,116.428719496000000,39.913743853900002
185,33,116.428746754000000,39.913147616099998
186,33,116.428806476999990,39.912779634899998
187,33,116.428922584000010,39.912030913300001
188,33,116.428932493000000,39.911998816599997
189,33,116.428963417000010,39.911792591900003
190,34,116.427563254000010,39.939687991800000
191,34,116.427574853000000,39.939261047199999
192,34,116.427655046000000,39.937552297099998
193,34,116.427816006000000,39.933824547699999
194,34,116.427914878000000,39.932284126100001
195,35,116.427969368000010,39.947798979300003
196,35,116.427760848999990,39.947361365699997
197,35,116.427342663999990,39.946676013999998
198,35,116.427475693000010,39.946267877399997
199,35,116.427547374000000,39.945812761100001
200,35,116.427527603000000,39.944301558299998
201,35,116.427496186000000,39.942551926299998
202,35,116.427526973000000,39.941023284400003
203,35,116.427563254000010,39.939687991800000
204,36,116.428591036000000,39.916303157000002
205,36,116.428587773999990,39.916483441700002
206,36,116.428480157000000,39.918982519799997
207,36,116.428358285000000,39.921759113000000
208,36,116.428306431000000,39.923015030800002
209,36,116.428305826000000,39.923039379899997
210,37,116.365795762000000,39.947231232900002
211,37,116.364223093000010,39.946932883000002
212,37,116.363066407999990,39.946609203100003
213,37,116.360499402000000,39.945663457000002
214,37,116.358618093999990,39.944872056299999
215,37,116.356712464000000,39.944332758900003
216,38,116.350060568999990,39.922293068499997
217,38,116.349972300999990,39.924073514400000
218,38,116.349869778000000,39.926504854800001
219,38,116.349859372000000,39.926819700999999
220,39,116.342570989000000,39.896747068300002
221,39,116.342607357000010,39.896338893399999
222,39,116.342665459000000,39.895735865699997
223,39,116.342819445999990,39.893476408500000
224,39,116.342926363000000,39.891601833199999
225,39,116.342916694000000,39.890741872800000
226,39,116.342852022000000,39.889093488999997
227,39,116.342839031000000,39.888362535699997
228,39,116.342836586999990,39.888225041799998
229,40,116.429581527000000,39.900559297299999
230,40,116.429852018999990,39.900531695500000
231,40,116.430116541999990,39.900509601300001
232,40,116.430141434000010,39.900576154600003
233,40,116.430215649999990,39.901258994099997
234,40,116.430195710000010,39.901530603700003
235,40,116.430155301000000,39.901909144500003
236,41,116.430155301000000,39.901909144500003
237,41,116.430140703000010,39.902045915400002
238,41,116.430038739000000,39.902663875099996
239,41,116.429970525000000,39.903042075199998
240,41,116.429877416000000,39.903594962000000
241,41,116.429726859000000,39.904422843100001
242,41,116.429633120000010,39.905253601699997
243,41,116.429610749999990,39.905972724199998
244,41,116.429568069000000,39.907167022400003
245,42,116.375238798000000,39.869370295700001
246,42,116.371496974000000,39.869113264699998
247,43,116.368148293000000,39.868864900399998
248,43,116.371267632000000,39.869097506300001
249,43,116.371496974000000,39.869113264699998
250,44,116.415153428000000,39.870523628500003
251,44,116.412025606000000,39.870129369799997
252,44,116.410385159000000,39.869994240899999
253,45,116.427969368000010,39.947798979300003
254,45,116.427868012999990,39.948201855599997
255,45,116.427832419000000,39.948360140299997
256,45,116.427821556000000,39.948388955900000
257,45,116.427778256000000,39.948437667100002
258,45,116.427690913000010,39.948500627700000
259,45,116.427524490000000,39.948600471799999
260,45,116.427400430000010,39.948666558299998
261,45,116.427251474000000,39.948712238500001
262,45,116.427038040000000,39.948720768500003
263,45,116.426580861999990,39.948747143100000
264,45,116.426160397999990,39.948773857200003
265,45,116.426023011000000,39.948782879100001
266,45,116.423925974000000,39.948754330100002
267,46,116.381605859000000,39.869807377699999
268,46,116.381608043000000,39.869807528099997
269,46,116.383883321000000,39.869935514500000
270,46,116.393008763000000,39.870300863099999
271,47,116.350286139000000,39.917091075899997
272,47,116.350286641000000,39.917064984699998
273,48,116.350286641000000,39.917064984699998
274,48,116.350289625000000,39.916909618200002
275,48,116.350322292000000,39.915919645599999
276,48,116.350362014000000,39.915283879299999
277,48,116.350464458999990,39.912587865699997
278,48,116.350466935000000,39.912538953099997
279,49,116.349341391000000,39.939099402300002
280,49,116.349341301000000,39.939101378200000
281,49,116.349340389999990,39.939117133800004
282,50,116.350133464000000,39.943018281699999
283,50,116.350089406000000,39.942795104900000
284,50,116.350003509999990,39.942253772800001
285,50,116.349805129999990,39.941894519100003
286,50,116.349604457000000,39.941677761299999
287,50,116.349341842000000,39.941279936599997
288,50,116.349313729000000,39.941194980100001
289,50,116.349289819000010,39.940895543000003
290,50,116.349281637000000,39.940535449899997
291,50,116.349301528000000,39.939787355400000
292,50,116.349340389999990,39.939117133800004
293,51,116.356712464000000,39.944332758900003
294,51,116.351727909000000,39.942921935500003
295,51,116.350243503000000,39.942499970999997
296,51,116.350133464000000,39.943018281699999
297,52,116.381605859000000,39.869807377699999
298,52,116.375238798000000,39.869370295700001
299,53,116.350286139000000,39.917091075899997
300,53,116.350264354000000,39.918224532099998
301,53,116.350159024000010,39.920402883800001
302,53,116.350062930000010,39.922245444900000
303,53,116.350061547000000,39.922273321299997
304,54,116.350060568999990,39.922293068499997
305,54,116.350061547000000,39.922273321299997
306,55,116.350338112000000,39.905815833699997
307,55,116.350349910000010,39.905566837899997
308,55,116.350381047000000,39.904499556600001
309,55,116.350465850000010,39.903136660700000
310,55,116.350493032000000,39.902279115299997
311,55,116.350532501999990,39.901713174199998
312,55,116.350572809000000,39.901327041999998
313,55,116.350759235000000,39.900862647399997
314,55,116.350917110000000,39.900595521400000
315,55,116.351046431000000,39.900361383899998
316,55,116.351336981000000,39.899991419599999
317,55,116.351650203000010,39.899591053000002
318,55,116.351982738000000,39.899228847300002
319,55,116.352413517000000,39.898877632199998
320,55,116.352950941000000,39.898565869099997
321,55,116.353338054999990,39.898384759599999
322,55,116.353786464000000,39.898213994199999
323,55,116.354235880000000,39.898114994499998
324,55,116.354318568000000,39.898089782800000
325,55,116.354319876999990,39.897950374899999
326,56,116.440115238999990,39.877900393200001
327,56,116.440148101000010,39.877581884599998
328,56,116.440004188000000,39.876751430900001
329,56,116.439131097000000,39.875031866900002
330,56,116.438568481999990,39.873555235600001
331,56,116.438178092000000,39.872078109400000
332,56,116.438028930000000,39.871104043599999
333,56,116.437864581000000,39.870732271900003
